batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1709,19,0.02961,0.667,2.0859,1.6649,0.242,0.284
1710,49,0.02942,0.667,2.1733,1.6914,0.216,0.246
1711,20,0.01934,0.667,2.1863,1.7136,0.149,0.19
1712,18,0.0311,0.667,2.165,1.6727,0.199,0.235
1713,21,0.01373,0.667,2.1654,1.6702,0.224,0.255
1714,21,0.02129,0.667,2.1603,1.6578,0.263,0.294
1715,13,0.013,0.667,2.0233,1.5934,0.318,0.346
1716,33,0.01729,0.667,2.1455,1.706,0.236,0.284
1717,12,0.01899,0.667,2.1718,1.6503,0.233,0.256
1718,29,0.01738,0.667,2.1185,1.5906,0.234,0.277
1719,49,0.02113,0.667,2.1255,1.6215,0.264,0.297
1720,23,0.01894,0.667,2.1481,1.6436,0.252,0.289
1721,20,0.02561,0.667,2.164,1.6539,0.259,0.298
1722,20,0.03311,0.667,2.175,1.6648,0.146,0.208
1723,21,0.02648,0.667,2.2365,1.6359,0.199,0.229
1724,18,0.03831,0.667,2.1888,1.7356,0.247,0.286
1725,22,0.033,0.667,2.2411,1.6724,0.209,0.25
1726,19,0.03717,0.667,2.1908,1.6328,0.188,0.234
1727,18,0.02435,0.667,2.1986,1.6665,0.234,0.275
1728,11,0.01971,0.667,2.2541,1.6315,0.199,0.244
1729,13,0.02074,0.667,2.2773,1.6734,0.132,0.18
1730,13,0.02396,0.667,2.2152,1.6656,0.218,0.249
1731,49,0.01771,0.667,2.2444,1.7174,0.202,0.249
1732,27,0.02698,0.667,2.2871,1.7063,0.209,0.236
1733,25,0.01754,0.667,2.1827,1.6852,0.232,0.268
1734,23,0.02516,0.667,2.2509,1.7276,0.213,0.253
1735,10,0.01645,0.667,2.0808,1.5799,0.216,0.252
1736,21,0.02153,0.667,2.1873,1.6416,0.201,0.247
1737,21,0.01883,0.667,2.177,1.6382,0.242,0.294
1738,15,0.01416,0.667,2.1894,1.6384,0.252,0.28
1739,18,0.02473,0.667,2.2017,1.648,0.244,0.281
1740,21,0.02221,0.667,2.1811,1.6132,0.208,0.25
1741,13,0.02456,0.667,2.1969,1.6518,0.223,0.276
1742,49,0.02267,0.667,2.2313,1.6728,0.191,0.218
1743,9,0.02247,0.667,2.2082,1.6857,0.216,0.248
1744,15,0.0225,0.667,2.2089,1.63,0.167,0.203
1745,49,0.0247,0.667,2.3006,1.6937,0.117,0.163
1746,19,0.02378,0.667,2.1883,1.663,0.246,0.275
1747,27,0.02172,0.667,2.1694,1.644,0.244,0.278
1748,25,0.01975,0.667,2.1679,1.5752,0.22,0.269
1749,13,0.02143,0.667,2.232,1.6779,0.165,0.205
1750,19,0.01859,0.667,2.2969,1.6985,0.161,0.215
1751,16,0.01674,0.667,2.1312,1.5742,0.219,0.275
1752,11,0.03171,0.667,2.2058,1.6237,0.183,0.253
1753,18,0.02711,0.667,2.2044,1.6031,0.158,0.201
