batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
816,19,0.01802,0.444,2.4682,1.8771,0.281,0.308
817,14,0.01695,0.444,2.4858,1.8673,0.257,0.287
818,28,0.02708,0.444,2.4313,1.875,0.234,0.263
819,49,0.02513,0.444,2.406,1.8755,0.312,0.354
820,22,0.01438,0.444,2.3827,1.8415,0.285,0.32
821,15,0.0218,0.444,2.465,1.8852,0.254,0.282
822,22,0.01456,0.444,2.4855,1.8754,0.245,0.273
823,21,0.02015,0.444,2.4846,1.8447,0.196,0.24
824,21,0.00983,0.667,2.4697,1.8919,0.255,0.276
825,49,0.02603,0.667,2.4518,1.8384,0.23,0.276
826,49,0.0256,0.667,2.5059,1.9419,0.223,0.277
827,21,0.04006,0.444,2.4631,1.8959,0.234,0.28
828,12,0.0092,0.667,2.4659,1.8722,0.229,0.257
829,24,0.02879,0.667,2.457,1.869,0.193,0.237
830,13,0.02325,0.667,2.4873,1.8788,0.217,0.246
831,16,0.02775,0.667,2.4454,1.9105,0.228,0.268
832,19,0.03303,0.667,2.4723,1.9009,0.244,0.285
833,10,0.03008,0.667,2.4813,1.8878,0.215,0.259
834,19,0.0332,0.667,2.4132,1.8473,0.234,0.271
835,33,0.04039,0.444,2.4538,1.9023,0.225,0.258
836,33,0.02839,0.444,2.4746,1.8399,0.253,0.277
837,15,0.02763,0.444,2.408,1.8618,0.231,0.261
838,15,0.01402,0.444,2.453,1.8295,0.246,0.263
839,12,0.02354,0.444,2.4604,1.8169,0.201,0.231
840,15,0.01679,0.444,2.4171,1.8469,0.248,0.267
841,16,0.02432,0.444,2.4958,1.902,0.298,0.328
842,21,0.01951,0.444,2.4719,1.8561,0.282,0.303
843,49,0.0203,0.444,2.3838,1.7937,0.279,0.302
844,27,0.01602,0.444,2.387,1.8589,0.254,0.297
845,11,0.01767,0.444,2.3748,1.8411,0.275,0.313
846,25,0.02076,0.444,2.3274,1.8102,0.357,0.385
847,9,0.01788,0.444,2.3214,1.79,0.352,0.376
848,11,0.02169,0.444,2.4494,1.8872,0.247,0.279
849,20,0.01763,0.444,2.4713,1.8513,0.305,0.327
850,26,0.02111,0.444,2.3247,1.8361,0.307,0.328
851,14,0.01897,0.444,2.4197,1.8207,0.289,0.313
852,17,0.02413,0.444,2.4295,1.8697,0.261,0.3
853,13,0.01627,0.444,2.4398,1.8698,0.282,0.305
854,29,0.0217,0.444,2.4146,1.8589,0.29,0.309
855,15,0.016,0.444,2.3986,1.839,0.272,0.306
856,49,0.02364,0.444,2.3985,1.8544,0.29,0.317
857,19,0.0187,0.444,2.3214,1.827,0.283,0.313
858,22,0.0182,0.444,2.329,1.7722,0.264,0.298
859,19,0.01725,0.444,2.367,1.8453,0.28,0.307
860,23,0.01562,0.444,2.3839,1.8453,0.295,0.324
861,9,0.01888,0.444,2.4135,1.8298,0.225,0.258
862,21,0.01603,0.444,2.4433,1.8332,0.218,0.242
863,13,0.01687,0.444,2.4022,1.8478,0.261,0.289
864,12,0.01589,0.444,2.3907,1.8662,0.269,0.304
865,13,0.01524,0.444,2.3151,1.8571,0.367,0.398
866,11,0.02122,0.444,2.3305,1.7696,0.254,0.278
867,12,0.01953,0.444,2.3623,1.8007,0.295,0.32
868,49,0.01835,0.444,2.3413,1.7992,0.261,0.298
869,27,0.0161,0.444,2.3595,1.8125,0.311,0.342
870,14,0.02064,0.444,2.2908,1.7909,0.364,0.401
871,10,0.0183,0.444,2.2704,1.7664,0.315,0.346
872,23,0.0183,0.444,2.4134,1.7947,0.205,0.242
873,16,0.02217,0.444,2.2862,1.738,0.285,0.304
874,17,0.01418,0.444,2.2958,1.7879,0.325,0.36
875,15,0.01615,0.444,2.3763,1.7952,0.328,0.371
876,9,0.01799,0.444,2.3445,1.7727,0.295,0.329
877,15,0.01647,0.444,2.3168,1.7686,0.285,0.307
878,13,0.03214,0.444,2.324,1.7047,0.278,0.303
