batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
234,11,0.01719,0.444,2.7002,2.2594,0.432,0.535
235,9,0.0304,0.444,2.7357,2.2095,0.458,0.525
236,13,0.01826,0.444,2.6092,2.2043,0.488,0.583
237,13,0.01372,0.444,2.5787,2.1789,0.507,0.597
238,10,0.01615,0.444,2.6216,2.208,0.476,0.567
239,13,0.01627,0.444,2.5951,2.1886,0.517,0.595
240,13,0.01568,0.444,2.6787,2.2094,0.481,0.549
241,12,0.02664,0.444,2.6006,2.2053,0.484,0.559
242,15,0.01931,0.444,2.626,2.1646,0.496,0.573
243,7,0.01921,0.444,2.6345,2.2094,0.482,0.553
244,8,0.02152,0.444,2.5846,2.1623,0.502,0.581
245,12,0.02095,0.444,2.6143,2.1514,0.476,0.551
246,12,0.01741,0.444,2.6209,2.1823,0.465,0.549
247,7,0.02628,0.444,2.6121,2.1624,0.501,0.576
248,8,0.01837,0.444,2.6288,2.209,0.473,0.559
249,11,0.0298,0.444,2.59,2.1086,0.508,0.584
250,9,0.03521,0.444,2.5724,2.176,0.459,0.558
251,11,0.03637,0.444,2.5748,2.1343,0.465,0.58
252,14,0.0314,0.444,2.6238,2.1957,0.44,0.522
253,11,0.02657,0.444,2.581,2.1037,0.414,0.526
254,15,0.01521,0.444,2.6366,2.151,0.408,0.501
255,7,0.01755,0.444,2.653,2.1314,0.416,0.522
256,13,0.02337,0.444,2.6399,2.1568,0.402,0.494
257,9,0.02068,0.444,2.6676,2.1432,0.405,0.498
258,14,0.01721,0.444,2.6057,2.0723,0.428,0.496
259,12,0.02707,0.444,2.6603,2.1402,0.396,0.474
260,18,0.01803,0.444,2.67,2.1048,0.355,0.439
261,8,0.01628,0.444,2.7003,2.1219,0.339,0.433
262,7,0.01884,0.444,2.6023,2.1249,0.391,0.505
263,11,0.02207,0.444,2.5705,2.0395,0.396,0.497
264,9,0.0229,0.444,2.5949,2.0916,0.475,0.544
265,12,0.02272,0.444,2.6512,2.1505,0.392,0.477
266,7,0.02139,0.444,2.4815,2.1123,0.531,0.624
267,11,0.02138,0.444,2.6028,2.0741,0.412,0.509
268,7,0.02205,0.444,2.5138,2.0783,0.403,0.538
269,7,0.02049,0.444,2.52,2.0473,0.427,0.517
270,8,0.02079,0.444,2.4644,2.0104,0.463,0.553
271,12,0.02769,0.444,2.5794,2.0355,0.391,0.482
272,7,0.03305,0.444,2.5148,2.1345,0.479,0.552
273,14,0.0346,0.444,2.4709,2.0299,0.468,0.591
274,15,0.0297,0.444,2.5892,2.0439,0.388,0.487
275,14,0.04032,0.296,2.6161,2.0813,0.345,0.472
276,15,0.01211,0.296,2.6009,2.114,0.344,0.444
277,11,0.01701,0.296,2.6601,2.0621,0.315,0.414
278,7,0.01271,0.296,2.4745,1.9813,0.437,0.524
279,8,0.01171,0.296,2.5041,1.9978,0.472,0.534
280,7,0.00768,0.444,2.5433,2.0372,0.382,0.459
281,13,0.02358,0.444,2.4989,1.9899,0.403,0.505
282,14,0.02026,0.444,2.5395,2.0139,0.367,0.464
283,10,0.02752,0.444,2.5222,1.9906,0.395,0.486
284,7,0.02705,0.444,2.5336,2.0016,0.341,0.467
285,7,0.03011,0.444,2.5542,2.0538,0.401,0.492
286,15,0.02515,0.444,2.4661,2.0095,0.406,0.537
287,7,0.02245,0.444,2.4711,2.0276,0.486,0.6
288,8,0.03509,0.444,2.4946,2.0471,0.426,0.528
289,9,0.01948,0.444,2.4975,2.0024,0.445,0.544
290,16,0.03163,0.444,2.5018,2.0018,0.385,0.508
291,9,0.02026,0.444,2.5184,2.0532,0.431,0.504
292,7,0.0177,0.444,2.5229,1.9593,0.312,0.45
293,11,0.02455,0.444,2.4509,1.953,0.41,0.521
294,10,0.0203,0.444,2.457,2.0017,0.421,0.518
295,9,0.0162,0.444,2.4527,1.9853,0.354,0.484
296,7,0.02274,0.444,2.466,1.9972,0.417,0.529
297,10,0.01586,0.444,2.5324,1.9307,0.372,0.456
298,14,0.02338,0.444,2.4335,1.9789,0.453,0.54
299,11,0.0234,0.444,2.4721,1.9631,0.387,0.487
300,12,0.03663,0.444,2.4792,1.9781,0.395,0.5
301,8,0.03214,0.444,2.4775,1.9589,0.39,0.52
302,7,0.01592,0.444,2.5199,1.9754,0.382,0.456
303,9,0.03885,0.444,2.3952,1.9538,0.442,0.534
304,11,0.02168,0.444,2.3608,1.8927,0.368,0.516
305,12,0.0255,0.444,2.428,1.9143,0.386,0.494
306,9,0.03112,0.444,2.3463,1.8468,0.451,0.573
307,9,0.02859,0.444,2.4379,1.9736,0.405,0.49
308,7,0.02707,0.444,2.4077,1.8778,0.387,0.488
309,11,0.03412,0.444,2.4063,1.9399,0.436,0.553
310,8,0.01965,0.444,2.396,1.8669,0.462,0.557
311,10,0.02713,0.444,2.4421,1.9482,0.409,0.511
312,9,0.02075,0.444,2.3569,1.9354,0.416,0.534
313,15,0.0208,0.444,2.3919,1.9441,0.433,0.547
314,9,0.02106,0.444,2.4304,1.9556,0.441,0.529
315,7,0.0273,0.444,2.4348,1.9267,0.403,0.517
316,13,0.01739,0.444,2.5204,1.97,0.343,0.447
317,7,0.02577,0.444,2.4303,1.9432,0.389,0.502
318,13,0.02183,0.444,2.3069,1.8881,0.517,0.595
319,11,0.04257,0.296,2.4327,1.9268,0.4,0.517
320,9,0.03203,0.296,2.3936,1.9195,0.452,0.531
321,7,0.01583,0.296,2.3327,1.9137,0.479,0.559
322,9,0.012,0.296,2.4119,1.932,0.454,0.534
323,11,0.01196,0.296,2.4251,1.9359,0.447,0.505
324,8,0.01822,0.296,2.3279,1.8477,0.441,0.534
325,10,0.0138,0.296,2.3782,1.917,0.481,0.543
326,9,0.02268,0.296,2.3276,1.9081,0.461,0.555
327,13,0.01197,0.296,2.4089,1.9441,0.477,0.529
328,7,0.01836,0.296,2.347,1.8748,0.458,0.537
329,7,0.00943,0.444,2.293,1.8656,0.469,0.546
330,12,0.02446,0.444,2.4016,1.9162,0.446,0.556
331,12,0.02223,0.444,2.3253,1.861,0.444,0.553
332,11,0.02148,0.444,2.2852,1.8481,0.441,0.552
333,8,0.02345,0.444,2.4071,1.933,0.441,0.514
334,15,0.02493,0.444,2.3864,1.8798,0.398,0.49
335,10,0.01821,0.444,2.3749,1.8886,0.424,0.516
336,11,0.01918,0.444,2.3552,1.886,0.432,0.541
337,9,0.02086,0.444,2.3627,1.914,0.434,0.545
338,9,0.01848,0.444,2.4081,1.8841,0.389,0.511
339,11,0.02592,0.444,2.3002,1.8906,0.471,0.568
340,10,0.02266,0.444,2.3655,1.8699,0.391,0.516
341,10,0.01722,0.444,2.3904,1.9161,0.46,0.544
342,13,0.02493,0.444,2.2887,1.823,0.425,0.545
343,9,0.02231,0.444,2.3248,1.8789,0.464,0.548
344,11,0.02753,0.444,2.3046,1.8456,0.483,0.576
345,8,0.02056,0.444,2.3164,1.8568,0.395,0.533
346,19,0.02934,0.444,2.2979,1.8359,0.46,0.552
347,7,0.02108,0.444,2.3176,1.9338,0.51,0.628
348,12,0.02457,0.444,2.3049,1.8619,0.466,0.575
349,15,0.02105,0.444,2.3722,1.9214,0.407,0.529
350,9,0.02608,0.444,2.3622,1.9339,0.463,0.555
351,11,0.02121,0.444,2.3358,1.8999,0.438,0.534
352,7,0.03024,0.444,2.2552,1.816,0.473,0.567
353,9,0.03282,0.444,2.3104,1.8513,0.44,0.55
354,8,0.03522,0.444,2.3464,1.853,0.445,0.555
355,7,0.02803,0.444,2.2218,1.8356,0.516,0.601
356,10,0.02736,0.444,2.3118,1.8746,0.474,0.582
357,13,0.02364,0.444,2.2786,1.8723,0.459,0.568
358,10,0.0351,0.444,2.3136,1.8421,0.446,0.569
359,13,0.03144,0.444,2.286,1.8511,0.446,0.555
360,7,0.02058,0.444,2.3063,1.864,0.478,0.568
361,13,0.02382,0.444,2.1869,1.8403,0.514,0.605
362,9,0.02846,0.444,2.2751,1.825,0.415,0.56
363,11,0.0326,0.444,2.376,1.8533,0.412,0.53
364,8,0.02421,0.444,2.2808,1.8689,0.448,0.55
365,10,0.02224,0.444,2.3546,1.8429,0.369,0.486
366,10,0.02931,0.444,2.2204,1.7697,0.487,0.569
367,9,0.02486,0.444,2.2011,1.7494,0.472,0.565
368,13,0.02756,0.444,2.2792,1.8621,0.444,0.566
369,7,0.02476,0.444,2.2877,1.8818,0.473,0.574
370,13,0.02168,0.444,2.2506,1.8274,0.454,0.583
371,16,0.02314,0.444,2.3247,1.8313,0.397,0.532
372,10,0.02784,0.444,2.4295,1.8916,0.341,0.443
373,10,0.04532,0.296,2.353,1.8183,0.376,0.492
374,8,0.01226,0.296,2.3357,1.8518,0.406,0.501
375,8,0.0124,0.296,2.2907,1.757,0.414,0.484
376,12,0.02256,0.296,2.3425,1.8399,0.412,0.486
377,8,0.02408,0.296,2.2593,1.7715,0.442,0.517
378,9,0.01175,0.296,2.2613,1.7497,0.406,0.491
379,13,0.01732,0.296,2.2517,1.7951,0.448,0.528
380,11,0.01183,0.296,2.229,1.7781,0.498,0.55
381,8,0.01703,0.296,2.3138,1.841,0.452,0.541
382,17,0.01297,0.296,2.2291,1.799,0.5,0.568
383,9,0.01779,0.296,2.3262,1.8386,0.406,0.486
384,10,0.01268,0.296,2.2309,1.7717,0.443,0.518
385,9,0.01269,0.296,2.3049,1.7443,0.399,0.493
386,13,0.01042,0.296,2.411,1.8458,0.386,0.478
387,11,0.01566,0.296,2.2881,1.8043,0.421,0.504
388,14,0.01612,0.296,2.3394,1.8239,0.366,0.46
389,9,0.0173,0.296,2.3268,1.8314,0.425,0.512
390,8,0.01762,0.296,2.2935,1.8061,0.403,0.477
391,12,0.00777,0.444,2.3362,1.8517,0.441,0.49
392,8,0.0253,0.444,2.3145,1.8036,0.441,0.516
393,11,0.03369,0.444,2.2411,1.7832,0.395,0.51
394,8,0.02917,0.444,2.3717,1.8201,0.4,0.49
395,7,0.03733,0.444,2.432,1.8472,0.351,0.446
396,11,0.02619,0.444,2.3084,1.8195,0.405,0.496
397,11,0.03275,0.444,2.3642,1.8674,0.405,0.482
398,15,0.02203,0.444,2.3131,1.8149,0.384,0.481
399,10,0.03112,0.444,2.3455,1.7982,0.381,0.484
400,7,0.03293,0.444,2.3304,1.8414,0.41,0.518
401,11,0.02622,0.444,2.2746,1.7595,0.377,0.485
402,8,0.02379,0.444,2.3379,1.8541,0.412,0.513
403,7,0.02795,0.444,2.2397,1.7453,0.441,0.527
404,10,0.03755,0.444,2.2392,1.7702,0.418,0.527
405,11,0.03833,0.444,2.3267,1.8197,0.459,0.544
406,10,0.03581,0.444,2.2416,1.7931,0.457,0.558
