batch,total_batches,episode_len,data_points,total_data,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
193,1200,23.0,184,10000,0.01754,2.25,3.392,2.7119,0.346,0.44
194,1200,23.5,188,10000,0.02152,2.25,3.3912,2.7123,0.351,0.412
195,1200,26.8,214,10000,0.01707,2.25,3.2651,2.727,0.424,0.499
196,1200,29.0,232,10000,0.0119,2.25,3.3843,2.7632,0.277,0.348
197,1200,25.5,204,10000,0.01641,2.25,3.4002,2.7109,0.278,0.362
198,1200,24.5,196,10000,0.0231,2.25,3.4021,2.7188,0.254,0.359
199,1200,22.5,180,10000,0.01937,2.25,3.3357,2.7013,0.279,0.364
200,1200,19.5,156,10000,0.01799,2.25,3.2988,2.7814,0.402,0.47
201,1200,22.5,180,10000,0.01866,2.25,3.4017,2.7733,0.28,0.366
202,1200,22.0,176,10000,0.01784,2.25,3.3373,2.8007,0.374,0.457
203,1200,25.8,206,10000,0.01731,2.25,3.3983,2.7148,0.231,0.349
204,1200,23.2,186,10000,0.01986,2.25,3.369,2.6645,0.293,0.375
205,1200,31.2,250,10000,0.02163,2.25,3.3571,2.6555,0.336,0.444
206,1200,24.0,192,10000,0.02136,2.25,3.3703,2.6256,0.245,0.326
207,1200,27.0,216,10000,0.01365,2.25,3.341,2.7774,0.394,0.471
208,1200,25.0,200,10000,0.01672,2.25,3.4483,2.8302,0.245,0.329
209,1200,29.0,232,10000,0.01266,2.25,3.3362,2.7899,0.361,0.454
210,1200,22.0,176,10000,0.02056,2.25,3.3788,2.8116,0.356,0.447
211,1200,29.5,236,10000,0.01438,2.25,3.2838,2.7074,0.304,0.383
212,1200,25.0,200,10000,0.02368,2.25,3.389,2.6447,0.211,0.317
213,1200,23.0,184,10000,0.01887,2.25,3.6287,2.6982,0.172,0.282
214,1200,20.8,166,10000,0.02743,2.25,3.369,2.7162,0.374,0.486
215,1200,20.8,166,10000,0.02249,2.25,3.262,2.7219,0.372,0.458
216,1200,20.8,166,10000,0.02001,2.25,3.2716,2.7759,0.392,0.457
217,1200,31.0,248,10000,0.02959,2.25,3.3704,2.7303,0.308,0.414
218,1200,27.0,216,10000,0.01702,2.25,3.2959,2.6711,0.373,0.449
219,1200,24.5,196,10000,0.02562,2.25,3.4447,2.8045,0.333,0.41
220,1200,23.0,184,10000,0.01126,2.25,3.2475,2.7045,0.323,0.411
221,1200,29.8,238,10000,0.0099,3.375,3.4748,2.7689,0.236,0.322
222,1200,20.0,160,10000,0.02115,3.375,3.4545,2.7612,0.198,0.351
223,1200,22.8,182,10000,0.01799,3.375,3.2034,2.6217,0.338,0.43
224,1200,18.0,144,10000,0.02423,3.375,3.4062,2.754,0.297,0.405
225,1200,25.0,200,10000,0.01834,3.375,3.3646,2.7266,0.289,0.416
226,1200,24.8,198,10000,0.02109,3.375,3.3068,2.7445,0.305,0.439
227,1200,23.0,184,10000,0.01814,3.375,3.2686,2.6387,0.258,0.399
228,1200,21.8,174,10000,0.02489,3.375,3.349,2.656,0.28,0.403
229,1200,21.2,170,10000,0.03712,3.375,3.417,2.7108,0.258,0.385
230,1200,25.2,202,10000,0.02548,3.375,3.4656,2.7674,0.221,0.345
231,1200,25.8,206,10000,0.03755,3.375,3.2354,2.6896,0.394,0.488
232,1200,20.8,166,10000,0.02772,3.375,3.2975,2.7196,0.382,0.476
233,1200,16.8,134,10000,0.02339,3.375,3.3253,2.6779,0.311,0.434
234,1200,22.0,176,10000,0.03109,3.375,3.3612,2.6384,0.211,0.361
235,1200,34.5,276,10000,0.02425,3.375,3.186,2.6667,0.388,0.509
236,1200,22.0,176,10000,0.02982,3.375,3.2843,2.6999,0.321,0.439
237,1200,30.2,242,10000,0.01822,3.375,3.4229,2.7947,0.261,0.376
238,1200,24.5,196,10000,0.02753,3.375,3.3279,2.7976,0.33,0.458
239,1200,23.8,190,10000,0.02293,3.375,3.2261,2.699,0.414,0.518
240,1200,25.0,200,10000,0.01932,3.375,3.3988,2.6773,0.244,0.353
241,1200,24.8,198,10000,0.02041,3.375,3.2538,2.6982,0.407,0.506
242,1200,19.8,158,10000,0.02685,3.375,3.3374,2.621,0.29,0.409
243,1200,19.2,154,10000,0.01972,3.375,3.2909,2.7054,0.374,0.467
244,1200,28.2,226,10000,0.02053,3.375,3.2109,2.6694,0.396,0.473
245,1200,25.8,206,10000,0.0222,3.375,3.3265,2.759,0.368,0.48
246,1200,22.0,176,10000,0.01939,3.375,3.1036,2.6013,0.422,0.524
247,1200,20.8,166,10000,0.01804,3.375,3.3899,2.7447,0.302,0.436
248,1200,29.8,238,10000,0.0218,3.375,3.3062,2.7465,0.375,0.473
249,1200,28.8,230,10000,0.01926,3.375,3.2934,2.7073,0.37,0.471
250,1200,21.2,170,10000,0.0159,3.375,3.2216,2.6131,0.329,0.453
251,1200,20.5,164,10000,0.02178,3.375,3.324,2.7487,0.366,0.459
252,1200,28.8,230,10000,0.02967,3.375,3.295,2.7064,0.338,0.472
253,1200,23.5,188,10000,0.02554,3.375,3.1946,2.6412,0.377,0.468
254,1200,28.5,228,10000,0.03113,3.375,3.3025,2.6266,0.322,0.424
255,1200,21.2,170,10000,0.01868,3.375,3.3243,2.7266,0.353,0.457
256,1200,26.0,208,10000,0.01908,3.375,3.31,2.6795,0.258,0.407
257,1200,27.5,220,10000,0.01704,3.375,3.2279,2.7272,0.386,0.497
258,1200,26.0,208,10000,0.01781,3.375,3.282,2.7265,0.367,0.47
259,1200,20.5,164,10000,0.01355,3.375,3.2793,2.6055,0.316,0.396
260,1200,21.2,170,10000,0.02895,3.375,3.2662,2.711,0.379,0.504
261,1200,22.5,180,10000,0.02903,3.375,3.283,2.6848,0.342,0.454
262,1200,16.8,134,10000,0.02312,3.375,3.3151,2.7545,0.356,0.472
263,1200,26.2,210,10000,0.04735,2.25,3.2746,2.6908,0.307,0.388
264,1200,21.0,168,10000,0.00882,3.375,3.2516,2.7698,0.434,0.504
265,1200,21.8,174,10000,0.06068,2.25,3.2397,2.6856,0.374,0.499
266,1200,25.2,202,10000,0.01696,2.25,3.3046,2.615,0.347,0.433
267,1200,25.2,202,10000,0.0247,2.25,3.3384,2.6642,0.29,0.38
268,1200,25.0,200,10000,0.01123,2.25,3.3694,2.7318,0.318,0.401
269,1200,21.5,172,10000,0.02509,2.25,3.4036,2.7238,0.294,0.387
270,1200,24.0,192,10000,0.01002,2.25,3.4063,2.7243,0.279,0.369
271,1200,21.2,170,10000,0.00938,3.375,3.4613,2.7223,0.149,0.237
272,1200,21.0,168,10000,0.02928,3.375,3.3863,2.9019,0.322,0.434
273,1200,26.2,210,10000,0.01662,3.375,3.3085,2.7922,0.281,0.394
274,1200,18.5,148,10000,0.02456,3.375,3.2944,2.6628,0.359,0.438
275,1200,29.8,238,10000,0.02363,3.375,3.4684,2.6074,0.188,0.296
276,1200,24.0,192,10000,0.01638,3.375,3.4018,2.6703,0.286,0.384
277,1200,25.8,206,10000,0.02695,3.375,3.2667,2.6314,0.343,0.451
278,1200,21.5,172,10000,0.01841,3.375,3.352,2.6269,0.305,0.407
