batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
152,7,0.04326,0.296,2.5739,2.1005,0.354,0.433
153,15,0.02795,0.296,2.4646,1.967,0.374,0.459
154,11,0.01584,0.296,2.6624,2.0378,0.35,0.41
155,16,0.0163,0.296,2.5708,2.0529,0.394,0.459
156,15,0.01087,0.296,2.5668,2.0408,0.398,0.454
157,7,0.01425,0.296,2.5187,2.0269,0.428,0.497
158,11,0.00817,0.444,2.5459,2.0211,0.372,0.431
159,17,0.01842,0.444,2.4861,1.9965,0.421,0.5
160,8,0.02198,0.444,2.5221,2.0127,0.385,0.483
161,7,0.01385,0.444,2.466,1.9583,0.42,0.516
162,9,0.02625,0.444,2.4865,2.0032,0.421,0.503
163,9,0.03398,0.444,2.4904,2.0777,0.373,0.468
164,11,0.01966,0.444,2.5555,1.8805,0.252,0.397
165,8,0.0323,0.444,2.527,2.0085,0.417,0.494
166,7,0.02597,0.444,2.5828,2.0554,0.37,0.459
167,12,0.03314,0.444,2.5347,2.021,0.373,0.479
168,7,0.02223,0.444,2.4999,2.045,0.396,0.492
169,12,0.01841,0.444,2.4481,1.9922,0.439,0.52
170,9,0.0253,0.444,2.5857,2.0273,0.394,0.469
171,9,0.03247,0.444,2.3466,1.9067,0.504,0.569
172,14,0.02694,0.444,2.5373,1.9589,0.397,0.479
173,11,0.03782,0.444,2.461,2.0396,0.399,0.538
174,7,0.0157,0.444,2.5985,2.0806,0.352,0.437
175,19,0.02363,0.444,2.4221,1.966,0.476,0.533
176,14,0.02469,0.444,2.5306,1.9771,0.403,0.464
177,7,0.02207,0.444,2.4852,1.9875,0.365,0.476
178,7,0.01887,0.444,2.4634,1.9775,0.466,0.532
179,11,0.02052,0.444,2.4557,1.9586,0.354,0.464
180,17,0.01734,0.444,2.4233,1.9622,0.489,0.544
181,9,0.02078,0.444,2.4723,1.9609,0.367,0.476
182,15,0.02888,0.444,2.4776,2.0024,0.372,0.448
183,14,0.03284,0.444,2.4886,1.8304,0.318,0.411
184,11,0.03063,0.444,2.4697,1.9552,0.333,0.443
185,10,0.01331,0.444,2.4434,1.9604,0.421,0.522
186,10,0.01552,0.444,2.47,1.9093,0.397,0.486
187,14,0.03697,0.444,2.422,2.0414,0.459,0.534
188,13,0.03416,0.444,2.3587,1.7663,0.362,0.442
189,12,0.02383,0.444,2.3091,1.9069,0.486,0.547
190,7,0.01323,0.444,2.3481,1.9069,0.443,0.532
191,10,0.02643,0.444,2.4687,1.8741,0.409,0.473
192,10,0.02774,0.444,2.5035,1.9963,0.372,0.46
193,15,0.02566,0.444,2.36,1.8353,0.396,0.5
194,11,0.03047,0.444,2.3709,1.8002,0.366,0.463
195,10,0.03207,0.444,2.4746,1.9085,0.369,0.434
